CustomerId,PurchaseNumber,LastAction,FirstAction,Revenue
13001701,1,2021-11-02,2021-11-01,124.22
12900511,1,2021-11-02,2021-11-01,275.57
13001705,1,2021-11-02,2021-11-01,34
12908190,1,2021-11-02,2021-11-01,91.43
13001707,1,2021-11-02,2021-11-01,257.68
13137490,1,2021-12-02,2021-12-01,196.54
9977312,1,2021-12-02,2021-12-01,142.55
13137584,1,2021-12-02,2021-12-01,342.29
13137521,1,2021-12-02,2021-12-01,179.9
13024184,1,2021-12-02,2021-12-01,179.9
10484522,1,2021-01-02,2021-01-01,441.99
10484809,1,2021-01-02,2021-01-01,22.09
10484631,1,2021-01-02,2021-01-01,910.38
10484421,1,2021-01-02,2021-01-01,69.09
7113970,1,2021-01-02,2021-01-01,470.86